brand,model_year,bike_age,price,price_segment,power_bhp,owner_num,annual_depreciation,price_retention_ratio
kawasaki,2020,5,525000.0,Luxury (>200k),60.0,1,-0.4208829371058149,1.1244979919678715
kawasaki,2017,8,675000.0,Luxury (>200k),111.0,1,-0.28526297113681176,1.4457831325301205
honda,2019,6,1490000.0,Luxury (>200k),186.3,1,-0.5945436412465748,2.021196792672687
kawasaki,2016,9,674375.0,Luxury (>200k),111.0,1,-0.2497900783209921,1.4444444444444444
hyosung,2017,8,320000.0,Luxury (>200k),74.0,1,-0.17077319658357282,1.0666666666666667
hyosung,2013,12,300000.0,Luxury (>200k),74.0,2,-0.10487408485705907,1.0
hyosung,2015,10,270000.0,Luxury (>200k),74.0,1,-0.1153202709417196,0.9
honda,2010,15,23000.0,Budget (<50k),129.0,2,0.08737855753815793,0.6209838544197851
hyosung,2014,11,280000.0,Luxury (>200k),74.0,2,-0.10796587356071807,0.9333333333333333
honda,2015,10,1175000.0,Luxury (>200k),175.669893,1,-0.2920133639710256,1.5938967995908773
kawasaki,2018,7,466875.0,Luxury (>200k),60.0,1,-0.26383506753972474,1.0
hyosung,2013,12,325000.0,Luxury (>200k),74.0,1,-0.11226847802583095,1.0833333333333333
kawasaki,2016,9,610000.0,Luxury (>200k),111.0,2,-0.235935425994394,1.3065595716198126
hyosung,2015,10,300000.0,Luxury (>200k),74.0,1,-0.1271334657635219,1.0
hyosung,2016,9,300000.0,Luxury (>200k),74.0,1,-0.14222163756173134,1.0
kawasaki,2017,8,650000.0,Luxury (>200k),111.0,1,-0.279213969801815,1.392235609103079
hyosung,2016,9,425000.0,Luxury (>200k),74.0,1,-0.1872929865759052,1.4166666666666667
benelli,2015,10,569400.0,Luxury (>200k),119.37,1,-0.20172463850241718,2.0895412844036696
kawasaki,2015,10,275000.0,Luxury (>200k),71.0,2,-0.117368666312621,0.5890227576974565
kawasaki,2016,9,330000.0,Luxury (>200k),71.0,1,-0.15438206345206584,0.7068273092369478
kawasaki,2017,8,346600.0,Luxury (>200k),71.0,1,-0.1825175468055833,0.7423828647925034
benelli,2017,8,600000.0,Luxury (>200k),119.37,2,-0.26647881706837095,2.2018348623853212
ducati,2019,6,1299000.0,Luxury (>200k),154.85,1,-0.5585003008212344,1.2134516581036898
kawasaki,2016,9,315000.0,Luxury (>200k),71.0,1,-0.14843058335088655,0.6746987951807228
triumph,2016,9,630000.0,Luxury (>200k),133.0,1,-0.24037363598989736,0.7875
benelli,2018,7,700000.0,Luxury (>200k),119.37,1,-0.3391172500542776,2.5688073394495414
ducati,2019,6,1475000.0,Luxury (>200k),154.85,1,-0.5918569405627399,1.3778608127043437
harley-davidson,2012,13,750000.0,Luxury (>200k),100.0,1,-0.1764996551878879,1.744186046511628
kawasaki,2014,11,300000.0,Luxury (>200k),71.0,1,-0.11493696205621595,0.642570281124498
kawasaki,2015,10,315000.0,Luxury (>200k),71.0,2,-0.1326462058860456,0.6746987951807228
ducati,2018,7,1070500.0,Luxury (>200k),154.85,1,-0.422899161067009,1.0
triumph,2016,9,1900000.0,Luxury (>200k),146.0,1,-0.40223448548227836,2.375
harley-davidson,2013,12,545000.0,Luxury (>200k),65.0,2,-0.16123216756691439,1.2674418604651163
harley-davidson,2014,11,545752.0,Luxury (>200k),65.0,1,-0.17726770290661387,1.2691906976744185
harley-davidson,2014,11,550000.0,Luxury (>200k),65.0,1,-0.1780978212727502,1.2790697674418605
harley-davidson,2017,8,850000.0,Luxury (>200k),65.0,1,-0.3228371704216959,1.9767441860465116
triumph,2015,10,440937.0,Luxury (>200k),79.0,2,-0.17138827717506877,0.55117125
triumph,2018,7,950000.0,Luxury (>200k),78.9,2,-0.3988305669004102,1.1875
harley-davidson,2014,11,750000.0,Luxury (>200k),65.0,1,-0.21178808437555907,1.744186046511628
triumph,2017,8,800000.0,Luxury (>200k),78.9,1,-0.3128504952167115,1.0
harley-davidson,2013,12,400000.0,Luxury (>200k),65.0,2,-0.1316818444739809,0.9302325581395349
harley-davidson,2020,5,1150000.0,Luxury (>200k),64.0,1,-0.6621338967748434,2.6744186046511627
honda,2016,9,674375.0,Luxury (>200k),85.8,2,-0.2497900783209921,0.9147950248715726
triumph,2014,11,550000.0,Luxury (>200k),67.0,1,-0.1780978212727502,0.6875
